loc,v(g),ev(g),iv(g),n,v,d,e,defects
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,0
1,1,1,1,1,1,1,1,1
83,11,1,11,171,927.89,23.04,21378.61,1
46,8,6,8,141,769.78,14.86,11436.73,1
25,3,1,3,58,254.75,9.35,2381.95,1
43,3,1,3,115,569.73,11.27,6423.73,1
48,6,1,6,149,751.61,15.43,11596.34,1
69,12,1,12,231,1212.27,27.27,33061.94,1
47,6,1,6,149,745,16.2,12069,1
48,7,1,7,155,801.34,17.82,14278.39,1
58,9,1,9,193,1027.13,20.7,21261.63,1
65,6,1,5,155,801.34,19.73,15808.22,1
116,11,4,8,289,1700.08,26.6,45222.23,1
24,4,1,4,74,347.83,11.37,3953.7,1
77,19,12,19,231,1245.63,29.25,36434.54,1
9,1,1,1,13,46.6,3.5,163.12,1
16,2,1,2,43,191.76,5.43,1040.96,1
93,7,3,6,257,1499.05,29.86,44757.43,1
23,1,1,1,67,307.19,4.74,1454.65,1
30,1,1,1,21,85.84,3.33,286.12,1
30,1,1,1,54,108,39,4212,1
35,3,1,3,108,529.94,13,6889.27,1
25,4,1,4,57,232.99,13.5,3145.3,1
20,7,7,3,54,240.81,9.58,2307.76,1
119,14,1,14,289,1605.28,30.72,49320.73,1
35,4,1,4,78,362.22,14.31,5182.54,1
33,4,1,4,73,334.7,14.5,4853.18,1
17,2,1,2,25,92.51,6.4,592.07,1
44,3,1,3,127,603.87,16,9661.93,1
84,15,9,15,230,1347.34,25.26,34029.33,1
56,3,1,3,150,769.39,14.09,10838.4,1
58,3,1,3,191,1016.49,21,21346.25,1
78,7,1,6,213,1189.6,17.71,21062.86,1
75,8,3,8,250,1356.57,29.1,39470.86,1
12,1,1,1,22,76.11,3.33,253.69,1
11,1,1,1,22,76.11,3.33,253.69,1
69,10,1,10,199,1059.06,25,26476.59,1
39,5,3,5,86,430,11.67,5016.67,1
53,5,1,5,113,579.61,9.65,5594.49,1
52,5,1,5,107,544.36,9.82,5344.61,1
30,2,1,2,74,330,12.5,4124.97,1
27,3,1,3,77,394.95,7.1,2805.82,1
47,7,1,6,105,525,12.05,6323.86,1
49,7,1,6,110,554.88,12.17,6755.1,1
7,1,1,1,14,50.19,3,150.57,1
66,12,5,12,177,922.07,20.45,18860.59,1
14,1,1,1,29,118.54,5.63,666.77,1
29,3,1,3,64,300.83,9.17,2757.59,1
6,1,1,1,14,48.43,2.5,121.08,1
12,1,1,1,36,140.65,5.25,738.4,1
38,7,1,7,119,583.92,16,9342.72,1
132,16,11,13,322,2052.76,29.65,60862.61,1
26,4,1,4,81,418.76,11.79,4935.43,1
56,5,1,4,178,988.72,13.19,13042.34,1
21,1,1,1,76,365.36,6.2,2265.23,1
43,6,5,5,95,508.97,18.9,9619.48,1
12,4,1,2,44,199.04,9.82,1954.18,1
11,1,1,1,26,98.99,6,593.95,1
26,2,1,2,68,319.63,7.15,2284.41,1
80,11,1,11,274,1637.77,28.71,47016.12,1
63,8,1,8,185,1069.55,24.33,26025.75,1
10,2,1,2,23,87.57,12.83,1123.8,1
9,2,1,1,31,129.27,5.6,723.9,1
35,5,1,4,89,448.95,20.4,9158.6,1
9,1,1,1,25,92.51,2.5,231.28,1
16,2,1,2,35,136.74,13.75,1880.19,1
5,1,1,1,10,28.07,3.75,105.28,1
16,1,1,1,28,109.39,4.57,500.08,1
4,1,1,1,7,19.65,3,58.95,1
12,2,1,2,24,88.81,3.43,304.49,1
8,2,1,1,20,74.01,5.25,388.55,1
4,1,1,1,5,11.61,2,23.22,1
14,2,1,2,29,120.93,6.87,831.38,1
56,3,1,2,101,537.51,7.5,4031.36,1
30,2,1,2,55,248.8,9.17,2280.63,1
52,8,1,8,247,1440.72,23.08,33247.47,1
41,6,3,6,109,572.02,18.45,10553.84,1
4,1,1,1,1,0,0,0,1
15,1,1,1,26,101.58,3.5,355.53,1
9,1,1,1,31,107.24,3.43,367.69,1
5,1,1,1,8,24,3,72,1
25,1,1,1,65,309.07,6.5,2008.94,1
45,1,1,1,0,0,0,0,1
4,1,1,1,4,8,1.5,12,1
23,3,1,2,70,316.65,14.18,4490.66,1
14,1,1,1,33,134.89,4.2,566.52,1
18,2,1,1,39,156,9.64,1504.29,1
40,4,1,3,110,544.96,15.17,8265.25,1
24,3,1,2,80,371.51,13.85,5143.96,1
52,6,1,5,133,670.9,16.25,10902.2,1
11,1,1,1,14,51.81,4,207.22,1
23,6,6,2,70,346.79,19.79,6863.63,1
4,1,1,1,4,8,1.5,12,1
38,8,8,5,191,1123.58,28.27,31758.83,1
113,15,11,14,527,3493.67,33.28,116258.98,1
8,1,1,1,26,106.27,3.85,409.16,1
38,6,3,6,167,894.71,20.8,18609.99,1
47,13,10,10,231,1303.73,36.93,48144.92,1
8,1,1,1,17,60.94,5,304.72,1
4,1,1,1,5,11.61,1.5,17.41,1
15,3,1,1,43,204.46,9.69,1981.69,1
38,5,1,5,61,307.71,15,4615.62,1
48,12,1,11,177,977.67,26.92,26321.9,1
70,15,14,3,293,1662.02,41.3,68641.45,1
23,5,3,3,116,633.29,22.8,14439.1,1
27,8,6,5,128,694.56,20.16,14002.37,1
10,1,1,1,26,104,4.28,444.89,1
13,1,1,1,46,213.62,7.46,1594.5,1
23,8,8,8,109,545,14.71,8017.24,1
11,4,4,4,38,164.23,9.78,1605.84,1
9,2,1,2,42,184.48,7.73,1425.51,1
11,3,3,2,43,202.12,6.97,1408.1,1
49,8,1,7,185,1088.29,17.81,19385.15,1
53,11,6,9,354,2139.72,44.31,94805.86,1
21,5,4,2,81,418.76,21,8794.04,1
16,4,1,4,86,430,8.9,3829.05,1
22,5,3,4,123,679.4,25,16984.95,1
24,5,3,4,129,724.3,24.87,18012.97,1
27,6,1,5,131,697.17,18.67,13013.89,1
27,5,1,4,93,408.49,21.33,8714.36,1
39,9,9,5,208,1233.59,35.34,43599.82,1
16,3,1,3,58,275.78,7,1930.48,1
19,4,1,4,86,426.06,12.28,5231.08,1
66,16,11,15,259,1608.25,25.03,40253.51,1
12,2,1,2,22,81.41,7.2,586.15,1
19,5,5,4,84,423.73,14.17,6002.83,1
9,3,3,2,50,216.1,13.5,2917.3,1
29,4,3,3,69,348.06,9.95,3462.31,1
286,27,5,25,481,2948.19,27.42,80852.59,1
26,3,1,3,68,326.9,11,3595.9,1
64,11,1,11,177,954.44,18.15,17326.76,1
47,4,1,4,92,442.28,12.38,5473.17,1
107,9,7,7,187,1109.05,19.95,22125.51,1
107,9,7,7,178,1051.43,19.65,20664.58,1
74,5,3,4,131,727.65,14.45,10515.73,1
37,4,1,4,75,348.29,10.61,3694.35,1
79,7,1,6,161,889.29,14.03,12478.8,1
134,15,8,14,303,1804.12,30.22,54519.67,1
55,4,3,3,152,894.16,16.14,14440.71,1
22,3,1,2,61,279.68,12,3356.19,1
22,3,1,2,73,325.54,16.2,5273.72,1
8,3,1,3,13,36.5,5,182.48,1
151,18,4,16,439,2790.97,38.54,107551.84,1
2,1,1,1,3,4.75,1,4.75,1
2,1,1,1,5,11.61,2,23.22,1
70,13,4,12,291,1795.45,33.41,59984.29,1
4,1,1,1,7,19.65,2.5,49.13,1
2,1,1,1,6,15.51,2.5,38.77,1
27,1,1,1,37,154.29,4.5,694.29,1
57,1,1,1,123,679.4,6.57,4461.99,1
4,1,1,1,4,8,1.5,12,1
7,1,1,1,15,45,2,90,1
7,1,1,1,9,25.27,3.75,94.75,1
16,2,1,2,32,118.41,7.2,852.58,1
11,1,1,1,11,36.54,3,109.62,1
8,2,1,1,17,62.91,6.75,424.63,1
62,14,1,9,445,3011.84,41.88,126141.8,1
39,4,1,4,88,423.05,13.43,5682.93,1
165,13,11,12,365,2206.2,43.27,95460.74,1
45,3,1,3,83,403.21,12.19,4914.15,1
3,1,1,1,1,0,0,0,1
21,2,1,2,61,279.68,6.43,1797.96,1
23,1,1,1,69,331.71,5.6,1857.56,1
12,1,1,1,24,98.1,3.85,377.68,1
44,7,1,5,124,650.74,14,9110.4,1
17,4,3,3,34,136,7.71,1049.14,1
40,5,3,4,95,470.65,13.72,6458.35,1
179,13,4,12,361,2241.61,22.82,51144.16,1
92,8,3,8,212,1184.01,15.17,17957.52,1
14,1,1,1,26,108.42,3,325.25,1
92,8,3,8,203,1121.28,15.35,17214.99,1
64,4,1,4,138,744.14,10.82,8053.51,1
184,16,12,13,437,2922,33.6,98179.22,1
17,4,3,3,32,125.02,8.25,1031.42,1
38,5,3,4,93,460.74,13,5989.62,1
6,1,1,1,7,19.65,2,39.3,1
41,4,1,4,85,421.11,10.47,4409.92,1
13,1,1,1,7,16.25,0.75,12.19,1
20,4,3,3,36,147.15,7.31,1076.02,1
50,5,4,4,122,625.77,16.5,10325.25,1
17,1,1,1,50,219.62,5,1098.08,1
41,6,5,5,95,508.97,18.9,9619.48,1
29,4,1,1,60,278.63,12.46,3472.18,1
125,8,5,7,272,1704.57,17.69,30162.15,1
42,5,3,4,113,570.02,15.47,8820.26,1
17,4,3,3,32,125.02,8.25,1031.42,1
14,3,3,3,40,169.92,8.94,1518.63,1
9,1,1,1,6,15.51,2,31.02,1
3,1,1,1,1,0,0,0,1
11,2,1,2,26,108.42,3.5,379.46,1
35,3,1,3,105,546.99,12.78,6991.99,1
7,2,1,2,11,34.87,5.25,183.06,1
34,5,1,5,99,490.47,18.75,9196.23,1
24,4,1,3,55,261.51,17.45,4564.69,1
35,4,1,4,85,432.43,13.82,5974.42,1
48,4,1,4,132,692.73,20.7,14339.44,1
61,7,1,7,167,942.52,11.57,10906.35,1
20,1,1,1,27,112.59,2.43,273.43,1
10,1,1,1,15,55.51,2.5,138.77,1
38,5,1,5,99,465.34,12.83,5971.91,1
4,1,1,1,4,8,1.5,12,1
15,2,1,2,35,136.74,7.43,1015.79,1
6,1,1,1,12,39.86,3,119.59,1
6,1,1,1,8,24,2.5,60,1
50,6,5,5,144,804.23,20,16084.69,1
17,1,1,1,43,182.66,5.82,1062.75,1
20,2,1,2,49,221.65,7.31,1619.78,1
8,1,1,1,20,76.15,4.67,355.35,1
20,5,1,5,54,237.19,6,1423.11,1
36,7,3,6,75,360.55,13.43,4843.41,1
27,1,1,1,104,537.67,7.33,3942.93,1
13,3,1,3,28,112,8.33,933.33,1
13,3,1,3,28,112,8.33,933.33,1
13,3,1,3,28,112,8.33,933.33,1
78,6,3,6,298,1801.23,10.89,19613.39,1
84,7,3,7,311,1893.2,12.29,23269.16,1
99,8,5,8,277,1601.44,30.88,49456.13,1
25,3,1,3,45,191.16,7.65,1462.35,1
97,14,1,14,273,1605.96,30.12,48369.03,1
95,16,9,16,254,1506.41,27.64,41638.64,1
132,14,8,13,331,2028.79,28.71,58255.33,1
61,4,1,4,217,1205.35,18.98,22882.74,1
8,1,1,1,14,50.19,3,150.57,1
55,5,1,5,118,605.26,10.08,6102.99,1
57,4,1,4,198,1087.39,18.5,20116.66,1
51,13,8,13,138,713.45,20.13,14362.87,1
93,7,1,7,247,1498.32,21.91,32835.61,1
29,1,1,1,99,495,4.9,2425.5,1
112,16,10,13,334,1988.7,33.33,66290.05,1
152,22,6,16,463,3027.63,29.75,90061.35,1
25,4,1,4,76,372.92,8.68,3238.55,1
78,11,1,11,227,1318.27,19.4,25571.05,1
35,5,3,4,83,415,10.61,4401.18,1
12,3,1,3,15,49.83,2.5,124.57,1
19,2,1,2,37,162.52,9.75,1584.53,1
19,3,1,3,31,118.03,8,944.22,1
15,2,1,2,30,131.77,5.25,691.79,1
217,28,18,27,521,3348.08,23.29,77990.66,1
150,27,22,18,438,2799.84,46.67,130658.97,1
30,3,1,3,77,361.93,12.43,4498.32,1
15,1,1,1,39,162.63,8.5,1382.33,1
41,1,1,1,0,0,0,0,1
25,3,3,3,48,217.13,8.71,1890.85,1
15,8,4,3,76,383.37,17,6517.36,1
56,13,7,11,226,1300.6,25.51,33184,1
20,2,1,2,31,133.98,6.5,870.87,1
9,2,1,2,41,180.09,12.19,2194.79,1
145,25,21,18,441,2811.39,44.04,123803.5,1
34,4,1,4,69,298.21,15.89,4738.27,1
12,1,1,1,41,182.84,8.5,1554.11,1
24,5,3,4,63,320.51,15.83,5074.74,1
74,6,5,4,135,753.97,14.5,10932.56,1
36,1,1,1,69,293.11,10.8,3165.56,1
7,2,1,2,18,59.79,3.5,209.28,1
7,1,1,1,14,44.38,2.5,110.95,1
6,1,1,1,13,33.6,3,100.81,1
55,5,1,3,142,765.71,14.25,10911.35,1
21,1,1,1,25,95.18,3.38,321.25,1
17,3,1,3,31,124,5,620,1
19,3,1,1,31,126.71,7.14,905.08,1
22,3,1,3,47,206.44,10.67,2202.02,1
40,3,1,3,88,451.38,10.05,4534.29,1
15,2,1,2,17,60.94,4.9,298.63,1
27,5,3,4,113,609.33,17.27,10524.82,1
35,1,1,1,32,133.44,5.2,693.88,1
30,2,1,2,93,460.74,7.14,3291,1
12,1,1,1,22,88,3,264,1
22,1,1,1,14,50.19,1.1,55.21,1
40,5,3,4,106,534.71,13.98,7472.51,1
176,16,10,14,385,2467.62,27.24,67213.15,1
132,13,10,13,278,1757.5,22.19,39004.08,1
101,13,6,12,214,1264.07,17.79,22482.47,1
7,1,1,1,20,78.14,4,312.55,1
11,1,1,1,24,91.38,4.5,411.19,1
11,1,1,1,24,91.38,4.5,411.19,1
11,1,1,1,24,91.38,4.5,411.19,1
11,1,1,1,24,91.38,4.5,411.19,1
16,2,1,2,29,113.3,6.86,776.91,1
38,2,1,2,90,445.88,13,5796.41,1
50,5,1,5,116,621.48,11.93,7411.68,1
4,1,1,1,4,8,1,8,1
60,6,3,5,176,982.95,19.5,19167.59,1
63,8,5,8,133,730.42,17,12417.08,1
72,11,7,9,154,850.63,26.13,22222.67,1
57,6,1,5,195,1132.43,15.47,17523.69,1
82,16,13,16,204,1106.96,16.45,18211.24,1
288,45,7,45,794,5228.46,44.9,234743.54,1
96,9,1,8,274,1554.24,22.29,34646.7,1
68,18,5,18,192,1066.48,15.48,16513.25,1
84,11,1,11,254,1500.35,28.95,43431.19,1
20,2,1,2,20,74.01,6.42,474.89,1
72,12,8,10,215,1269.98,23.42,29746.87,1
16,1,1,1,43,175.76,6.27,1102.5,1
40,5,1,5,125,674.04,19.88,13396.54,1
12,1,1,1,41,187.98,6.43,1208.47,1
11,1,1,1,41,187.98,6.43,1208.47,1
50,8,3,4,240,1480.78,34.78,51502.32,1
25,2,1,2,38,169.46,5.19,879.88,1
4,1,1,1,6,15.51,2.5,38.77,1
220,12,8,12,453,3028.98,21.49,65087.11,1
22,1,1,1,69,331.71,5.6,1857.56,1
23,1,1,1,69,331.71,5.6,1857.56,1
89,6,4,5,189,1043.95,23.74,24784.89,1
15,1,1,1,41,177.2,5.33,945.06,1
100,7,3,6,362,2281.97,26.82,61212.81,1
12,1,1,1,18,66.61,4.67,310.84,1
72,7,1,7,142,779.84,14.62,11401.84,1
23,1,1,1,46,218.72,3.14,687.42,1
140,18,10,18,376,2304.61,27.6,63607.25,1
162,17,12,16,334,2011.47,35.6,71598.78,1
33,1,1,1,55,252.17,9.31,2347.15,1
82,13,4,12,196,1117.29,29.7,33183.4,1
73,10,7,9,247,1421.46,40.09,56980.83,1
109,18,14,15,399,2550.53,42.25,107760.09,1
61,5,1,2,148,817.49,16,13079.79,1
153,27,15,18,497,3294.79,48.32,159215.89,1
33,1,1,1,65,325,5.83,1895.83,1
10,1,1,1,18,66.61,2.5,166.52,1
81,4,1,4,162,899.84,15.47,13919.45,1
97,11,8,8,216,1259.9,30.44,38352.97,1
3,1,1,1,4,8,1,8,1
75,9,6,9,284,1746.53,30.43,53155.21,1
98,17,3,15,307,1875.32,31.25,58603.66,1
119,14,12,13,220,1304.76,31.2,40708.58,1
35,5,5,5,88,418.43,21.25,8891.64,1
116,12,6,12,382,2467.5,18,44415.05,1
205,26,16,19,491,3179.59,49.32,156823.6,1
5,1,1,1,11,30.88,2.67,82.35,0
3,1,1,1,1,0,0,0,0
3,1,1,1,1,0,0,0,0
3,1,1,1,1,0,0,0,0
12,1,1,1,19,63.12,3.5,220.91,0
5,1,1,1,11,30.88,2.67,82.35,0
3,1,1,1,1,0,0,0,0
3,1,1,1,1,0,0,0,0
3,1,1,1,1,0,0,0,0
13,1,1,1,29,110.41,3.75,414.05,0
12,1,1,1,19,63.12,3.5,220.91,0
3,1,1,1,1,0,0,0,0
12,1,1,1,19,63.12,3.5,220.91,0
4,1,1,1,1,0,0,0,0
13,1,1,1,27,102.8,7.33,753.86,0
16,3,3,2,43,188.87,10,1888.7,0
16,3,3,2,43,188.87,10,1888.7,0
16,3,3,2,43,188.87,10,1888.7,0
16,1,1,1,34,141.78,5.2,737.24,0
35,6,5,6,85,412.93,11.38,4697.06,0
14,2,1,2,30,122.62,5.78,708.49,0
40,4,1,4,103,484.15,15.86,7677.16,0
38,4,3,4,94,489.69,11.57,5663.36,0
26,2,1,2,66,289.89,10,2898.93,0
15,2,1,2,38,152,9.17,1393.33,0
21,1,1,1,52,208,10.29,2139.43,0
11,1,1,1,18,66.61,4.8,319.72,0
17,2,1,2,27,108,6.67,720,0
25,3,1,3,58,254.75,9.35,2381.95,0
56,10,9,10,155,824.9,17.67,14573.21,0
59,5,1,4,138,713.45,15.83,11291.12,0
120,12,5,11,315,1804.29,23.29,42021.08,0
23,3,1,3,51,230.7,9.17,2114.77,0
23,3,1,3,51,230.7,9.17,2114.77,0
22,3,1,3,51,230.7,9.17,2114.77,0
31,2,1,2,104,529.1,7.74,4095.2,0
13,1,1,1,36,150.12,5.2,780.61,0
17,1,1,1,55,248.8,5.87,1459.6,0
32,4,1,4,156,841.2,12.33,10369.98,0
17,1,1,1,62,291.43,5.56,1619.04,0
74,7,1,6,177,948.29,24,22758.88,0
23,3,1,3,42,171.67,10.08,1731.04,0
20,2,1,2,46,195.4,10.31,2015.11,0
13,2,1,2,29,107.31,9,965.81,0
30,2,1,2,82,348.33,11.7,4075.46,0
38,6,3,6,120,564.05,18.5,10434.98,0
55,5,1,5,137,658.61,23.65,15578.6,0
24,3,1,3,55,241.58,10.67,2576.83,0
36,9,9,9,102,485,16.88,8184.35,0
210,25,11,25,606,3820.09,32.93,125808.33,0
7,1,1,1,13,44.97,3,134.92,0
8,1,1,1,12,39.86,2.5,99.66,0
23,2,1,2,66,294.32,13,3826.19,0
9,1,1,1,20,76.15,4.67,355.35,0
34,5,3,5,115,575,14.71,8458.55,0
9,1,1,1,19,72.34,4,289.36,0
63,11,5,11,163,842.7,19.29,16252.03,0
7,1,1,1,12,41.51,3,124.54,0
28,2,1,2,74,363.11,9.26,3363.54,0
14,1,1,1,26,104,5.79,601.71,0
29,4,1,4,81,380.74,9,3426.62,0
41,8,5,8,111,544.66,17,9259.3,0
18,1,1,1,50,200,10.29,2057.13,0
14,1,1,1,21,84,3,252,0
4,1,1,1,7,19.65,2.5,49.13,0
11,1,1,1,17,64.73,3,194.18,0
4,1,1,1,7,19.65,2.5,49.13,0
6,1,1,1,5,11.61,1.5,17.41,0
18,2,1,2,31,126.71,6.43,814.57,0
2,1,1,1,0,0,0,0,0
43,5,1,5,117,600.13,17,10202.14,0
2,1,1,1,0,0,0,0,0
8,1,1,1,5,11.61,0.5,5.8,0
10,1,1,1,5,11.61,0.5,5.8,0
3,1,1,1,1,0,0,0,0
5,1,1,1,7,18.09,1,18.09,0
7,1,1,1,12,36,2.5,90,0
3,1,1,1,7,18.09,1,18.09,0
13,1,1,1,20,69.19,3.33,230.63,0
11,1,1,1,6,15.51,0.5,7.75,0
3,1,1,1,1,0,0,0,0
4,1,1,1,6,13.93,1,13.93,0
3,1,1,1,1,0,0,0,0
39,2,1,2,152,819.63,11.6,9507.73,0
1,1,1,1,0,0,0,0,0
4,1,1,1,3,4.75,1,4.75,0
13,1,1,1,20,69.19,3.33,230.63,0
4,1,1,1,7,18.09,1,18.09,0
2,1,1,1,7,18.09,1,18.09,0
10,1,1,1,19,63.12,4,252.47,0
20,1,1,1,57,257.83,4.38,1128.06,0
4,1,1,1,1,0,0,0,0
14,1,1,1,20,69.19,3.33,230.63,0
13,1,1,1,12,33.69,2,67.38,0
15,1,1,1,13,41.21,1.57,64.76,0
24,1,1,1,16,59.21,2.67,157.89,0
19,3,3,3,50,226.18,9.27,2097.29,0
17,1,1,1,45,194.49,5.5,1069.68,0
63,9,8,9,199,1086.43,18.57,20176.5,0
6,1,1,1,10,31.7,2.5,79.25,0
9,1,1,1,8,24,2.5,60,0
9,1,1,1,8,24,2.5,60,0
6,1,1,1,10,31.7,2.5,79.25,0
6,1,1,1,10,31.7,2.5,79.25,0
6,1,1,1,10,31.7,2.5,79.25,0
10,1,1,1,8,24,2.5,60,0
6,1,1,1,10,31.7,2.5,79.25,0
6,1,1,1,10,31.7,2.5,79.25,0
10,1,1,1,8,24,2.5,60,0
87,9,1,9,212,1190.32,22.65,26954.95,0
51,6,1,6,129,666.92,24.59,16398.39,0
88,14,10,9,239,1280.45,34.83,44593.23,0
59,6,1,6,176,855,21.88,18709.51,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
56,7,3,7,133,670.9,15.6,10466.11,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
9,1,1,1,20,76.15,4.67,355.35,0
1,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
4,1,1,1,4,8,1.5,12,0
